occurenceId	sourceTaxonName	targetTaxonName	interactionTypeName	interactionTypeId	Season	Start Month	Start Date	2014	End Month	End Date	End Year	Country	localityName	synchronous_YN	contact_YN	roostCat1	ENVO_cat1	roostCat2	ENVO_cat2	roostCat3	ENVO_cat3	InteractionText	roostUsageType	InteractionReferencePage	Basis of record	RecordReference	FrequencyofOccurances	Tags	Habitat	referenceFileName	referenceDOI	referenceURL	referenceCitation	contributors
BarbourDavis1969-a84	Myotis lucifugus		roosts in									United States	Utah			cave	ENVO_00000067					Twente (1960) reported that the species is commonin summer nursery colonies in Utah, but he was unable tofind any among the over 500 mines and caves and 100 buildingshe investigated in that state in winter.	maternity	50	Literature Observation	Twente (1960)	100+			Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a85	Myotis lucifugus		roosts in									United States	Utah			anthropogenic	ENVO_00000070	excavated structure		mine	ENVO_00000076	Twente (1960) reported that the species is commonin summer nursery colonies in Utah, but he was unable tofind any among the over 500 mines and caves and 100 buildingshe investigated in that state in winter.	maternity	50	Literature Observation	Twente (1960)	100+			Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a86	Myotis lucifugus		roosts in									United States	Utah			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			Twente (1960) reported that the species is commonin summer nursery colonies in Utah, but he was unable tofind any among the over 500 mines and caves and 100 buildingshe investigated in that state in winter.	maternity	50	Literature Observation	Twente (1960)	100			Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a87	Myotis lucifugus		roosts in									United States	Easterm United States			cave	ENVO_00000067					When large numbers of these bats hibernate in one cave they form clusters in favorable spots (fig. 20). Throughout much of the east the winter clusters are distinctive and easily recognized. They are not so tightly packed as those formed by M. sodalis, which frequently uses the same caves. M. lucifugus sometimes form a linear arrangement along a cave wall (fig. 21).	hibernaculum	51						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a88	Myotis sodalis		roosts in									United States	Easterm United States			cave	ENVO_00000067					When large numbers of these bats hibernate in one cave they form clusters in favorable spots (fig. 20). Throughout much of the east the winter clusters are distinctive and easily recognized. They are not so tightly packed as those formed by M. sodalis, which frequently uses the same caves. M. lucifugus sometimes form a linear arrangement along a cave wall (fig. 21).	hibernaculum	51						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a89	Myotis lucifugus		roosts in									Canada										In Canada and other northern regions, M. lucifugus sometimes form tightly packed clusters, which are not easily distinguished from those of M. sodalis. In a mine in the Adirondacks of New York many thousands form such clusters, which include a few individuals of the latter species.	hibernaculum	51						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a90	Myotis sodalis		roosts in									Canada										In Canada and other northern regions, M. lucifugus sometimes form tightly packed clusters, which are not easily distinguished from those of M. sodalis. In a mine in the Adirondacks of New York many thousands form such clusters, which include a few individuals of the latter species.	hibernaculum	51						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a91	Myotis lucifugus		roosts in									United States	Adirondacks, New York			anthropogenic	ENVO_00000070	excavated structure		mine	ENVO_00000076	In Canada and other northern regions, M. lucifugus sometimes form tightly packed clusters, which are not easily distinguished from those of M. sodalis. In a mine in the Adirondacks of New York many thousands form such clusters, which include a few individuals of the latter species.	hibernaculum	51						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a92	Myotis sodalis		roosts in									United States	Adirondacks, New York			anthropogenic	ENVO_00000070	excavated structure		mine	ENVO_00000076	In Canada and other northern regions, M. lucifugus sometimes form tightly packed clusters, which are not easily distinguished from those of M. sodalis. In a mine in the Adirondacks of New York many thousands form such clusters, which include a few individuals of the latter species.	hibernaculum	51						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a107	Myotis lucifugus		roosts in			06			08			United States	Hellhole Cave, West Virginia			cave	ENVO_00000067					Krutzsch (1961) reported colonies of several hundred malesin Hellhole Cave, West Virginia, in July and August, andsmaller numbers in June. We think it is likely that Hellholeis a center for summer swarming bats and these coloniesrepresent bats that find themselves in the cave at daybreak.A similar situation is found at Dixon Cave, Kentucky (Davis,1964b).	day roost	54	Literature Observation	Krutzsch (1961				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a108	Myotis lucifugus		roosts in									United States	Dixon Cave, Kentucky			cave	ENVO_00000067					Krutzsch (1961) reported colonies of several hundred malesin Hellhole Cave, West Virginia, in July and August, andsmaller numbers in June. We think it is likely that Hellholeis a center for summer swarming bats and these coloniesrepresent bats that find themselves in the cave at daybreak.A similar situation is found at Dixon Cave, Kentucky (Davis,1964b).	day roost	54	Literature Observation	Davis, 1964b				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a109	Myotis yumanensis		roosts in									North America				anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			Although locally abundant, the species seems to be absent in many apparently suitable feeding areas. Perhaps adequate day roosts are a limiting factor. Large nursery colonies are most frequently located in buildings, under bridges, and m caves and mines.	maternity	56	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a110	Myotis yumanensis		roosts in									United States				anthropogenic	ENVO_00000070	transport features	ENVO_00000010	under bridge	ENVO_00000075	Although locally abundant, the species seems to be absent in many apparently suitable feeding areas. Perhaps adequate day roosts are a limiting factor. Large nursery colonies are most frequently located in buildings, under bridges, and m caves and mines.		56	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a111	Myotis yumanensis		roosts in									United States				cave	ENVO_00000067					Although locally abundant, the species seems to be absent in many apparently suitable feeding areas. Perhaps adequate day roosts are a limiting factor. Large nursery colonies are most frequently located in buildings, under bridges, and m caves and mines.		56	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a112	Myotis yumanensis		roosts in									United States				anthropogenic	ENVO_00000070	excavated structure		mine	ENVO_00000076	Although locally abundant, the species seems to be absent in many apparently suitable feeding areas. Perhaps adequate day roosts are a limiting factor. Large nursery colonies are most frequently located in buildings, under bridges, and m caves and mines.		56	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a113	Myotis yumanensis		roosts in													anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	house	ENVO_01000417	The night roosts of the M. yumanensis often show little or no evidence of use. Careful search of abandoned cabins, attics, porches, and similar sites will usually reveal droppings. Many times, however, no droppings are found on the floors of buildings in which bats can be captured at night (Dalquest, 1947a).		56	Literature Observation	Dalquest, 1947a				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a114	Myotis yumanensis		roosts in													anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	attic	ENVO_01000426	The night roosts of the M. yumanensis often show little or no evidence of use. Careful search of abandoned cabins, attics, porches, and similar sites will usually reveal droppings. Many times, however, no droppings are found on the floors of buildings in which bats can be captured at night (Dalquest, 1947a).		56	Literature Observation	Dalquest, 1947a				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a115	Myotis yumanensis		roosts in													anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	roof edges: outside	ENVO_01000472	The night roosts of the M. yumanensis often show little or no evidence of use. Careful search of abandoned cabins, attics, porches, and similar sites will usually reveal droppings. Many times, however, no droppings are found on the floors of buildings in which bats can be captured at night (Dalquest, 1947a).		56	Literature Observation	Dalquest, 1947a				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a116	Myotis yumanensis		roosts in									United States	Wadsworth, Nevada			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	house of worship/temple		Dalquest (1947a) observed a colony of about 5,000 that inhabited a house of worship/temple belfry at Wadsworth, Nevada. Shortly after sunset the bats became active and started squeaking. It was nearly dark before they began to emerge, first in twos and threes and then in larger groups until a steady stream poured forth.	day roost	57	Literature Observation	Dalquest, 1947a				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a117	Myotis yumanensis		roosts in									United States	Nevada			cave	ENVO_00000067					In a nursery colony of several thousand in a Nevada cave. Hall (1946) found all adults examined on July 11 pregnant or with newborn young.	maternity	58	Literature Observation	Hall, 1946				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a118	Myotis yumanensis		roosts in									United States	California			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	roof edges: outside		M. yumanensis abandon the nursery colony sites in fall, but their destination and winter habits are unknown. There are a few winter records from California. Dalquest (1947a) observed transients at the ventilators of a building in Berkeley, California.		58	Literature Observation	Dalquest, 1947a				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a119	Myotis austroriparius		roosts in									United States	Florida			cave	ENVO_00000067					In the cavernous regions of Florida, caves are the favored day roosts, although buildings and other shelters are sometimes used.	day roost	60	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a120	Myotis austroriparius		roosts in													cave	ENVO_00000067					Maternity colonies numbering in the manythousands are known in caves.	maternity							Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a121	Myotis austroriparius		roosts in													anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			Throughout the rest of the Deep South M. austroriparius resides in buildings and hollow trees.								Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a122	Myotis austroriparius		roosts in													tree	ENVO_01001057	standing tree		cavity in standing tree		Throughout the rest of the Deep South M. austroriparius resides in buildings and hollow trees.								Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a123	Myotis austroriparius		roosts in													cave	ENVO_00000067					In the Ohio River Valley it roosts almost exclusively in caves.								Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a124	Myotis austroriparius		roosts in									United States	Indiana			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	attic	ENVO_01000426	During their extensive work in Indiana, Russell Mumford and James Cope have found only one M. austroriparius roosting outside a cave; it was among hundreds of M. lucifugus in an attic.		60	Anecdotal	Russell Mumford and James Cope				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a125	Myotis lucifugus		roosts in									United States	Indiana			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	attic	ENVO_01000426	During their extensive work in Indiana, Russell Mumford and James Cope have found only one M. austroriparius roosting outside a cave; it was among hundreds of M. lucifugus in an attic.		60	Anecdotal	Russell Mumford and James Cope				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a126	Myotis austroriparius		roosts in									United States	Florida			anthropogenic	ENVO_00000070	transport features	ENVO_00000010	under bridge	ENVO_00000075	In winter all but a few leave the great maternity caves of central Florida and take up residence in small groups at various outdoor sites. At this time they are usually found over water in places which are protected from climatic extremes, but which are more exposed to cool temperatures than are the caves - in crevices between bridge timbers, in storm sewers, road culverts, the vertical drain pipes of concrete bridges, in boat houses, in various other buildings, and in hollow trees (Rice, 1957).		60	Literature Observation	Rice, 1957				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a127	Myotis austroriparius		roosts in									United States	Florida			anthropogenic	ENVO_00000070	excavated structure		other		In winter all but a few leave the great maternity caves of central Florida and take up residence in small groups at various outdoor sites. At this time they are usually found over water in places which are protected from climatic extremes, but which are more exposed to cool temperatures than are the caves - in crevices between bridge timbers, in storm sewers, road culverts, the vertical drain pipes of concrete bridges, in boat houses, in various other buildings, and in hollow trees (Rice, 1957).		60	Literature Observation	Rice, 1957				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a128	Myotis austroriparius		roosts in									United States	Florida			anthropogenic	ENVO_00000070	excavated structure		culvert	ENVO_00000029	In winter all but a few leave the great maternity caves of central Florida and take up residence in small groups at various outdoor sites. At this time they are usually found over water in places which are protected from climatic extremes, but which are more exposed to cool temperatures than are the caves - in crevices between bridge timbers, in storm sewers, road culverts, the vertical drain pipes of concrete bridges, in boat houses, in various other buildings, and in hollow trees (Rice, 1957).		60	Literature Observation	Rice, 1957				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a129	Myotis austroriparius		roosts in									United States	Florida			anthropogenic	ENVO_00000070	transport features	ENVO_00000010	under bridge	ENVO_00000075	In winter all but a few leave the great maternity caves of central Florida and take up residence in small groups at various outdoor sites. At this time they are usually found over water in places which are protected from climatic extremes, but which are more exposed to cool temperatures than are the caves - in crevices between bridge timbers, in storm sewers, road culverts, the vertical drain pipes of concrete bridges, in boat houses, in various other buildings, and in hollow trees (Rice, 1957).		60	Literature Observation	Rice, 1957				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a130	Myotis austroriparius		roosts in									United States	Florida			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	other		In winter all but a few leave the great maternity caves of central Florida and take up residence in small groups at various outdoor sites. At this time they are usually found over water in places which are protected from climatic extremes, but which are more exposed to cool temperatures than are the caves - in crevices between bridge timbers, in storm sewers, road culverts, the vertical drain pipes of concrete bridges, in boat houses, in various other buildings, and in hollow trees (Rice, 1957).		60	Literature Observation	Rice, 1957				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a131	Myotis austroriparius		roosts in									United States	Florida			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			In winter all but a few leave the great maternity caves of central Florida and take up residence in small groups at various outdoor sites. At this time they are usually found over water in places which are protected from climatic extremes, but which are more exposed to cool temperatures than are the caves - in crevices between bridge timbers, in storm sewers, road culverts, the vertical drain pipes of concrete bridges, in boat houses, in various other buildings, and in hollow trees (Rice, 1957).		60	Literature Observation	Rice, 1957	2+			Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a132	Myotis austroriparius		roosts in									United States	Florida			tree	ENVO_01001057	standing tree		cavity in standing tree		In winter all but a few leave the great maternity caves of central Florida and take up residence in small groups at various outdoor sites. At this time they are usually found over water in places which are protected from climatic extremes, but which are more exposed to cool temperatures than are the caves - in crevices between bridge timbers, in storm sewers, road culverts, the vertical drain pipes of concrete bridges, in boat houses, in various other buildings, and in hollow trees (Rice, 1957).		60	Literature Observation	Rice, 1957				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a133	Myotis austroriparius		roosts in			02		1955				United States	Thomasville, Georgia			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073	other		In February 1955, E. V. Komarek showed one of us (WHD) a hibernating colony of these bats in a fertilizer plant at Thomasville, Georgia. The building is a large shelter, open on all sides. About 300 bats were present, all tightly packed into a long narrow crevice between two of the rafters support- ing the roof. When dislodged with a long pole, the torpid bats fell to the floor where they were gathered and banded.		60	Author Observation					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a134	Myotis austroriparius		roosts in									United States	Florida			cave	ENVO_00000067					Reproductive data on this species are available only for the Florida populations studied by Sherman (1930) and Rice (1957)....The maternity colonies in the caves of central Florida begin to form about the second week in March; all bats arrive by early April. They gather in large dense clusters containing about 150 bats per square foot. Colonies range in size from 2,000 to 90,000, and they are found only in eaves which have standing water. A few males are present in the nursery colonies, but most are in other caves or shelters, singly or in small groups. After the young mature, many adult males join the colony.	maternity	60-61	Literature Observation	Sherman, 1930 and RIce 1957				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a141	Myotis austroriparius		roosts in									United States	Florida			anthropogenic	ENVO_00000070	excavated structure		drain	ENVO_0100924	At Gainesville they are residents about the sewage disposal ponds of the University of Florida where they are so abundant as to be easily captured with an insect net. They may be found any evening when it is warm enough for insects to fly. Apparently the bats reside in the large concrete drain tiles which connect the ponds.		63	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a142	Myotis austroriparius		roosts in									United States	Indiana			cave	ENVO_00000067					It is known only from a few caves in Indiana, Illinois, and Kentucky, where its numbers have been steadily declining. Apparently, this race is nearing extinction.		63	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a143	Myotis austroriparius		roosts in									United States	Illinois			cave	ENVO_00000067					It is known only from a few caves in Indiana, Illinois, and Kentucky, where its numbers have been steadily declining. Apparently, this race is nearing extinction.		63	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a144	Myotis austroriparius		roosts in									United States	Kentucky			cave	ENVO_00000067					It is known only from a few caves in Indiana, Illinois, and Kentucky, where its numbers have been steadily declining. Apparently, this race is nearing extinction.		63	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a145	Myotis austroriparius		roosts in			11	29	1953				United States	Ohio River, Hardin County			cave	ENVO_00000067					One of us (WHD) observed a colony of this race in a cave beside the Ohio River in Hardin County, Illinois, on November 29, 1953. The bats were in a tightly packed cluster on the ceiling within easy reach. When gathered for banding they were found to be torpid. There were 120 bats in the cluster, 55 percent of which were males.		63	Author Observation					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a146	Myotis grisescens		roosts in									United States	Missouri, Kentucky, Tennessee, and Alabama			cave	ENVO_00000067					Myotis grisescens is almost unknown outside of caves.		64	Introduction					Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a147	Myotis grisescens		roosts in									United States	Univeristy of Georgia			anthropogenic	ENVO_00000070	excavated structure		tunnel	ENVO_00000066	Wilson Baker has found a few transients in a tunnel on the campus of the University of Georgia.		64	Anecdotal	Wilson Baker				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a148	Myotis grisescens		roosts in									United States	Pittsburg, Kansas			anthropogenic	ENVO_00000070	excavated structure		other		A small maternity colony occupies a storm sewer in Pittsburg, Kansas (Hays and Bingman, 1964).	maternity	64	Literature Observation	(Hays and Bingman, 1964				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a149	Myotis grisescens		roosts in									United States				cave	ENVO_00000067					Thomas C. Barr, Jr., who has probably seen more summer colonies of M. grisescens than anyone else, has generalized for us the requirements of this species. He finds the maternity colonies nearly always in rather large caves containing sub- stantial streams. With few exceptions, the colonies are accessible only by boat or by wading deep water.		64	Anecdotal	Thomas C. Barr, Jr.				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a150	Myotis grisescens		roosts in									United States				cave	ENVO_00000067					The species winters in caves; apparently almost the entire population hibernates in five or six major caves.		64						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a151	Myotis grisescens		roosts in									United States	many large caves in the central part of the eastern United States.			cave	ENVO_00000067					In summer M. grisescens forms maternity colonies of from a few hundred to a quarter of a million individuals in many large caves in the central part of the eastern United States.	maternity	64						Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a152	Myotis grisescens		roosts in									United States	Missouri			cave	ENVO_00000067					Guthrie (1933b) found that in Missouri pregnant and lactating females could be found together in summer. Females in their second summer were nonparous and were rarely in the maternity colonies; more frequently they were with the males in another area of the cave.	maternity	65	Literature Observation	Guthrie (1933b)				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a153	Myotis grisescens		roosts in									United States	Missouri			cave	ENVO_00000067					Until the work of Richard Myers in Missouri in the late 1950s the winter horne of M. grisescens was unknown. He discovered three caves where they collect from widely scattered areas to hibernate.	hibernaculum	65		Richard Myers	3			Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a154	Myotis grisescens		roosts in									United States	Kentucky			cave	ENVO_00000067					More recently John Hall discovered such a cave in Kentucky and Merlin Tuttle one in eastern Tennessee.	hibernaculum	65		John Hall				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a155	Myotis grisescens		roosts in									United States	Rogersville, Tennessee			cave	ENVO_00000067					More recently John Hall discovered such a cave in Kentucky and Merlin Tuttle one in eastern Tennessee...Tuttle followed their movements from several scattered summer colonies to the wintering cave near Rogersville in northeastern Tennessee.	hibernaculum	65		Merlin Tuttle				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a156	Myotis grisescens		roosts in									United States	Arkansas			cave	ENVO_00000067					Sealander (1956) found small groups of M. grisescens wintering in Arkansas.	hibernaculum	65	Literature Observation	Sealander (1956				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a157	Myotis grisescens		roosts in									United States	near Concord, Tennessee			cave	ENVO_00000067					He observed bats at a cave near Concord, Tennessee, which seems to serve as a rest stop for transients. This cave often contained 500 to 2,000 M. grisescens during the day in spring and fall. Sometimes bats were absent during these seasons. Once during the spring of 1961 he visited this cave and found no bats. Returning that night at 11:00 p.m., he was surprised to find several thousand gray bats. Next day all were gone.	night roost	65		Merlin Tuttle				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a158	Myotis grisescens		roosts in			10						United States	Illinois			cave	ENVO_00000067					Smith and Parmallee (1954) found a cluster of hundreds in an Illinois cave on October 1. None was seen there on June 25, and none could be found in December.		65	Literature Observation	Smith and Parmallee (1954)				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a159	Myotis grisescens		roosts in									United States	Edmonson County, Kentucky			cave	ENVO_00000067					Hall and Wilson (1966) found that bats from summer colonies scattered over about 10,500 square miles of Kentucky, southern Illiriois, and Tennessee migrated to a cave in Edmonson County, Kentucky, to hibernate.	hibernaculum	65	Literature Observation	Hall and Wilson (1966)				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a160	Myotis grisescens		roosts in									United States	Coach Cave, Kentucky			cave	ENVO_00000067					Hall (1962) described the clusters of 100,000 gray bats which used to hibernate in Coach Cave, Kentucky. They formed great mats several tiers thick on the ceiling. The forearms of the bats, instead of being held parallel to the body as in other species, stuck out at sharp angles making the cluster appear interwoven.	hibernaculum	65	Literature Observation	Hall (1962				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
BarbourDavis1969-a161	Myotis grisescens		roosts in					1967				United States	Sauta Cave, Alabama			cave	ENVO_00000067					Part of the nursery colony of Myotis grisescens at Sauta Cave, Alabama. This is the largest known colony of the species, estimated at about 200,000 individuals. (Courtesy of Lyle G. Conrad)	maternity	65 Photo		Lyle G. Conrad				Barbour_Davis_1969	none	none	Barbour, R. W.,and W. H. Davis. 1969. Bats of America. Univ. Kentucky Press, Lexington, 286 pp.	ACS
